학년도,학기,소속,학과,과목번호,분반,과목명,학점,수업시간/강의실,시간,교수진,수강생수,영어강의,중국어강의,승인과목,CU과목,홀짝구분,국제학생,Honors과목,공학인증,시험일자,수강대상,권장학년,수강신청 참조사항,과목 설명,비고
2024 학년도,1학기,대학,대학,CUCAU002,1,한국힙합의랩탐구,3,,,,2,,,O,O,,,,,,,1-4학년,,,CU공유대학 과목
2024 학년도,1학기,대학,대학,CUCAU012,1,과학의논쟁,3,,,,9,,,O,O,,,,,,,1-4학년,,,CU공유대학 과목
2024 학년도,1학기,대학,대학,CUCAU013,1,휴머노이드 로봇,3,,,,52,,,O,O,,,,,,,1-4학년,,,CU공유대학 과목
2024 학년도,1학기,대학,대학,CUCAU017,1,Global Business and Legal Issues,3,,,,3,,,O,O,,,,,,,1-4학년,,,CU공유대학 과목
2024 학년도,1학기,대학,대학,CUCKD001,1,"시를 읽다, 소설을 읽다, 나를 읽다",2,,,,16,,,O,O,,,,,,,2-4학년,,,CU공유대학 과목
2024 학년도,1학기,대학,대학,CUCKU004,1,감성인문학,2,,,,4,,,O,O,,,,,,,1-4학년,,,CU공유대학 과목
2024 학년도,1학기,대학,대학,CUCKU005,1,생각을 세우다,2,,,,0,,,O,O,,,,,,,1-4학년,,,CU공유대학 과목
2024 학년도,1학기,대학,대학,CUCKU006,1,에코토피아와 인간,2,,,,2,,,O,O,,,,,,,1-4학년,,,CU공유대학 과목
2024 학년도,1학기,대학,대학,CUCKU007,1,평화 인문학과 안중근,2,,,,0,,,O,O,,,,,,,1-4학년,,,CU공유대학 과목
2024 학년도,1학기,대학,대학,CUDGC004,1,예술의이해와탐구,2,,,,0,,,O,O,,,,,,,1-4학년,,,CU공유대학 과목
2024 학년도,1학기,대학,대학,CUDGC008,1,과학기술과사회,2,,,,2,,,O,O,,,,,,,1-4학년,,,CU공유대학 과목
2024 학년도,1학기,대학,대학,CUDGC010,1,영화고전의발견,2,,,,3,,,O,O,,,,,,,1-4학년,,,CU공유대학 과목
2024 학년도,1학기,대학,대학,CUDGC012,1,경영학의이해,2,,,,16,,,O,O,,,,,,,1-4학년,,,CU공유대학 과목
2024 학년도,1학기,대학,대학,CUICC007,1,세계유산의 이해,2,,,,0,,,O,O,,,,,,,1-4학년,,,CU공유대학 과목
2024 학년도,1학기,대학,대학,CUICC008,1,삶의 재발견,2,,,,0,,,O,O,,,,,,,1-4학년,,,CU공유대학 과목
2024 학년도,1학기,대학,대학,CUICC009,1,취창업과 진로,2,,,,6,,,O,O,,,,,,,1-4학년,,,CU공유대학 과목
2024 학년도,1학기,대학,대학,CUMPC002,1,공감과 소통,2,,,,14,,,O,O,,,,,,,1-4학년,,,CU공유대학 과목
2024 학년도,1학기,대학,대학,CUMPC003,1,"사랑, 성, 생명",2,,,,2,,,O,O,,,,,,,1-4학년,,,CU공유대학 과목
2024 학년도,1학기,대학,대학,CUMPC004,1,도시와 문화예술,2,,,,3,,,O,O,,,,,,,1-4학년,,,CU공유대학 과목
2024 학년도,1학기,대학,대학,CUPSC002,1,문학과 정신분석,3,,,,0,,,O,O,,,,,,,2-4학년,,,CU공유대학 과목
2024 학년도,1학기,대학,영미어문전공,ENG2001,1,영문학개론,3,"화,목 12:00~13:15",3,김태원,0,O,,,,,,,,,1학년,1학년,,,
2024 학년도,1학기,대학,영미어문전공,ENG2001,2,영문학개론,3,"수,금 15:00~16:15",3,전자영,8,O,,,,,,,,,"1,2,3학년",1학년,,,
2024 학년도,1학기,대학,영미어문전공,ENG2003,1,언어학개론,3,"화,목 15:00~16:15",3,Barrie Michael Jonathan Mathew,19,O,,,,,,,,,전학년,1-4학년,,,
2024 학년도,1학기,대학,영미어문전공,ENG2005,1,영국문화사,3,"월,수 16:30~17:45",3,김치헌,37,O,,,,,,,,,전학년,2-4학년,,,
2024 학년도,1학기,대학,영미어문전공,ENG2101,1,영문학작문,3,"월,수 10:30~11:45",3,김치헌,14,O,,,,,,,,,전학년,1-2학년,,,
