학년도,학기,소속,학과,과목번호,분반,과목명,학점,수업시간/강의실,시간,교수진,수강생수,영어강의,중국어강의,승인과목,CU과목,홀짝구분,국제학생,Honors과목,공학인증,시험일자,수강대상,권장학년,수강신청 참조사항,과목 설명,비고
2024 학년도,1학기,대학,대학,CUCAU002,01,한국힙합의랩탐구,3.0,,,,0000000000,,,O,O,,,,,,,1-4학년,,,CU공유대학 과목
2024 학년도,1학기,대학,대학,CUCAU012,01,과학의논쟁,3.0,,,,0000000012,,,O,O,,,,,,,1-4학년,,,CU공유대학 과목
2024 학년도,1학기,대학,대학,CUCAU013,01,휴머노이드 로봇,3.0,,,,0000000053,,,O,O,,,,,,,1-4학년,,,CU공유대학 과목
2024 학년도,1학기,대학,대학,CUCAU017,01,Global Business and Legal Issues,3.0,,,,0000000005,,,O,O,,,,,,,1-4학년,,,CU공유대학 과목
2024 학년도,1학기,대학,대학,CUCKD001,01,"시를 읽다, 소설을 읽다, 나를 읽다",2.0,,,,0000000022,,,O,O,,,,,,,2-4학년,,,CU공유대학 과목
2024 학년도,1학기,대학,대학,CUCKU004,01,감성인문학,2.0,,,,0000000017,,,O,O,,,,,,,1-4학년,,,CU공유대학 과목
2024 학년도,1학기,대학,대학,CUCKU005,01,생각을 세우다,2.0,,,,0000000000,,,O,O,,,,,,,1-4학년,,,CU공유대학 과목
2024 학년도,1학기,대학,대학,CUCKU006,01,에코토피아와 인간,2.0,,,,0000000000,,,O,O,,,,,,,1-4학년,,,CU공유대학 과목
2024 학년도,1학기,대학,대학,CUCKU007,01,평화 인문학과 안중근,2.0,,,,0000000000,,,O,O,,,,,,,1-4학년,,,CU공유대학 과목
2024 학년도,1학기,대학,대학,CUDGC004,01,예술의이해와탐구,2.0,,,,0000000004,,,O,O,,,,,,,1-4학년,,,CU공유대학 과목
2024 학년도,1학기,대학,대학,CUDGC008,01,과학기술과사회,2.0,,,,0000000000,,,O,O,,,,,,,1-4학년,,,CU공유대학 과목
2024 학년도,1학기,대학,대학,CUDGC010,01,영화고전의발견,2.0,,,,0000000008,,,O,O,,,,,,,1-4학년,,,CU공유대학 과목
2024 학년도,1학기,대학,대학,CUDGC012,01,경영학의이해,2.0,,,,0000000018,,,O,O,,,,,,,1-4학년,,,CU공유대학 과목
2024 학년도,1학기,대학,대학,CUICC007,01,세계유산의 이해,2.0,,,,0000000000,,,O,O,,,,,,,1-4학년,,,CU공유대학 과목
2024 학년도,1학기,대학,대학,CUICC008,01,삶의 재발견,2.0,,,,0000000000,,,O,O,,,,,,,1-4학년,,,CU공유대학 과목
2024 학년도,1학기,대학,대학,CUICC009,01,취창업과 진로,2.0,,,,0000000006,,,O,O,,,,,,,1-4학년,,,CU공유대학 과목
2024 학년도,1학기,대학,대학,CUMPC002,01,공감과 소통,2.0,,,,0000000023,,,O,O,,,,,,,1-4학년,,,CU공유대학 과목
2024 학년도,1학기,대학,대학,CUMPC003,01,"사랑, 성, 생명",2.0,,,,0000000003,,,O,O,,,,,,,1-4학년,,,CU공유대학 과목
2024 학년도,1학기,대학,대학,CUMPC004,01,도시와 문화예술,2.0,,,,0000000009,,,O,O,,,,,,,1-4학년,,,CU공유대학 과목
