Sentence,course,professor,course_keyword
소정민 교수님 어때?,,소정민,어때?
최재승 교수님 프언 후기좀,프로그래밍언어,최재승,프언
장형수 교수님 진짜 빌런이야?,,장형수,빌런
자료구조 노베이스로 들을만해?,자료구조,,노베이스
소정민 교수님 시험 어떤식으로 내?,,소정민,시험
컴아키 어떤 교수님꺼로 들을까?,컴아키,,
아무것도 모르는 비전공생이 자료구조부터 들으면 힘들까?,자료구조,,비전공생
준석초이 수업 스타일 어때,,준석초이,수업 스타일
팀플 없는 영글의 추천해줘,영글의,,팀플
논비사 교수님 추천해줘,논비사,,추천
진로탐색입문 새내기가 들어도 괜찮을까,진로탐색입문,,새내기
일반화학 지대윤 교수님 어떤가요,일반화학,지대윤,어떤가요
그레고리 영글의 학점 받기 쉽나,영글의,그레고리,학점
알려줘.. 소정민 자료구조..,자료구조,소정민,알려줘..
부루장 강의 장단점이 어캐 됨?,,부루장,장단점
김재호 금융시장계량분석 강의평좀,금융시장계량분석,김재호,강의평좀
게임이론 강의평!,게임이론,,강의평!
형수장 자료구조 쓰레기 같다는거 실화임?,자료구조,,쓰레기
기인프 들을만 함?,기인프,,들을만 함?
소정민 교수님 수업 과제 많나여 ㅜ,,소정민,과제
2학점으로 축구 들으려 하는데 괜찮을까,축구,,괜찮을까
종교 트랙에서 신학적 인간학 수업 들을만 함?,신학적 인간학,,들을만 함?
국제무역론 ㄱㅊ?,국제무역론,,ㄱㅊ?
게임이론 많이 어려움?,게임이론,,어려움?
송경투 난이도가 어때?,경투,송,난이도가 어때?
재호킴 금계량 할만 해?,금계량,재호킴,할만 해?
딥러닝 수업 중 가장 들을만한 수업은?,,,딥러닝 수업
C언어 과목 중 과제가 가장 적은 과목 추천좀,,,C언어 과목
경제학원론 중 가장 시험 부담이 적은 수업은?,경제학원론,,시험 부담
손성빈 교수님 주채시 수업 어때,주채시,손성빈,수업 어때
빅종설 수업 어때?,빅종설,,수업 어때?
김현석 교수님 고미2 많이 어렵나?,고미2,김현석,어렵나?
장부루 교수님의 수업들에 대한 강의평가 요약해줘,,장부루,강의평가
정재학 교수님 마케팅원론 강의평,마케팅원론,정재학,강의평
데이터 마이닝 강의 어때,데이터 마이닝,,강의 어때
서진교 교수님 현대한국의 형성 어떤지 알려주셈,현대한국의 형성,서진교,어떤지 알려주셈
구익희 현대세계와윤리문제 강평,현대세계와윤리문제,구익희,강평
일심 강의 평가좀,일심,,강의 평가좀
오흥식 서양고대사 강평,서양고대사,오흥식,강평
탁구 수업 몇 학점이야?,탁구,,학점
조창연교수님 수업 평이 어때?,,조창연,수업 평
경영전략과 경영과학 과목 중 뭐가 더 꿀강이야,"경영전략, 경영과학",,꿀강이야
곽노선 거시 강의평 요약,거시,곽노선,강의평 요약
고응C 강의 학점,고응C,,학점
경영학과인데 c언어 어려울까,c언어,,어려울까
현대북한정치 정영철 교수님 어떤지 알려줘,현대북한정치,정영철,어떤지 알려줘
도시사회학 강의평가 좀 김지혜 교수님,도시사회학,김지혜,강의평가 좀
미시경제학 강의평 전부 요약해줘,미시경제학,,전부 요약
경영과학 영강 어떨까?,경영과학,,어떨까?
나 문과인데 대학수학 어렵나?,대학수학,,어렵나?
김도성 투자론 꿀강인가?,투자론,김도성,꿀강인가?
경영과학 수업 교수님 별로 강의평을 알려줘,경영과학,,강의평을 알려줘
김도성 교수님 강의평 알려줘,,김도성,강의평 알려줘
선형대수학 수업 몇 개 열려?,선형대수학,,몇 개
gregory 영글의1 강의 강의 평가 알려줘,영글의1,gregory,강의 평가 알려줘
투자론 어떰?,투자론,,어떰?
사회조사 방법론 오세일 꿀강인지 궁금함,사회조사 방법론,오세일,꿀강인지 궁금함
비씨파생인디 관리회계 어려울까?,관리회계,,어려울까?
경영전략 조모임 없는 교수님 알려줘,경영전략,,조모임 없는
한국 현대사 조은성 교수님 강의 평가좀 보여줘,한국 현대사,조은성,강의 평가좀 보여줘
김서영 교수님의 미국정치특강 어때 ,김서영,미국정치특강,어때
회계학원론 양준선 교수님 강의 평가좀 알려줘,회계학원론,양준선,강의 평가좀
정성원 DB 할만해?,DB,정성원,할만해?
일본정치의 이해 김백주 어떰,일본정치의 이해,김백주,어떰
드로잉 수업 정원이 몇 명이야?,드로잉,,정원
경제학원론 비전공생한테 어려울까?,경제학원론,,어려움
최준석 교수님 기초머신러닝 쉅에 대해 알고 싶어,기초머신러닝,최준석,쉅에 대해
컴퓨터 프로그래밍 수업에 대해서 알려줘,컴퓨터 프로그래밍,,수업에 대해서
사회학개론 들을만 한가?,사회학개론,,들을만 한가?
의사결정론 시험 어때,의사결정론,,시험 어때
송민섭 교수님 시험 스타일 어때,,송민섭,시험 스타일
나미향 교수님 학점 잘 주나?,,나미향,학점 잘 주나?
송민섭 교수님의 인품은 어때,,송민섭,인품 어때
유아심 강의 평가좀 정리해줘,유아심,,강의 평가좀
임시소 강의 좀 학점 받기 어렵나?,임시소,,학점
  김도성 투자론 테뱅에서 나오나?,투자론,김도성,테뱅
소정민 교수님 자료구조 강의평가 요약해줘,자료구조,소정민,강의평가
김도성 투자론 퀴즈 있어??,투자론,김도성,퀴즈
조행이 팀플 있?,조행이,,팀플
현대서양의형성 강정석 교수님 강의 평가,현대서양의형성,강정석,강의 평가
거시경제학 출석 빡센가?,거시경제학,,출석
김세준 교수님 암호학기초 어때?,암호학기초,김세준,어때?
한류와 미디어는 무슨 과목이야?,한류와 미디어,,무슨 과목이야?
민재형 교수님의 의사결정론의 강의평가는 어떤가요?,의사결정론,민재형,어떤가요?
강브리가 국제경영론 영어강의야?,국제경영론,강브리가,영어강의야?
카네코 루리코 교수님 시사일본어 교양으로 들을만해?,시사일본어,카네코 루리코,들을만해?
정녕 교수님의 일본문화특강1 일본어 잘해야 들을만해?,일본문화특강1,정녕,들을만해?
권현정 교수님 기초프랑스어 어뗘?,기초프랑스어,권현정,어뗘?
일물실 많이 빡세나,일물실,,빡세나
강은숙 교수님 고급응용C프로그래밍 강의평가 좀,고급응용C프로그래밍,강은숙,강의평가 좀
주채영 현대한국의형성 어때?,현대한국의형성,주채영,어때?
이지영 현대 동아시아의 형성 강평 좀,현대동아시아의형성,이지영,강평 좀
현대세계와윤리문제 하유진 교수님꺼 어때?,현대세계와윤리문제,하유진,어때?
논리와 비판적 사고 이솔 교수님 어때?,논리와비판적사고,이솔,어때?
안창덕 종교와세계문화 들을만해?,종교와세계문화,안창덕,들을만해?
김양민 교수님 영강 어때,,김양민,영강 어때
이번에 김양민 교수님 경영전략 수업 열려? ,경영전략,김양민,수업 열려?
소정민 교수님 후기 어때?,,소정민,후기 어때?
축구 수업 어때?,축구,,어때?
축구 수업 괜찮을까?,축구,,괜찮을까?
국제경영론 영어 강의 후기가 궁금해 ,국제경영론,,영어 강의 후기가 궁금해
강리브가 교수님 국제경영론 수업 어떨까?,국제경영론,강리브가,수업 어떨까?
데이터베이스 수업 후기 좀 ,데이터베이스,,수업 후기 좀
정라미 교수님 국제경영론 팀플 있어?,국제경영론,정라미,팀플 있어?
곽노선 거시 평가가 어때 ,거시,곽노선,평가가 어때
주하연 교수님 수업 후기 어떰?,,주하연,수업 후기 어떰?
김도성 투자론 어려울까?,투자론,김도성,어려울까?
경제학원론 노베이스도 들을만 한가?,경제학원론,,노베이스도 들을만 한가?
부담 없이 들을 수 있는 경영학과 전공 수업 있을까? ,,,부담 없이 들을 수 있는
회원 한국어 강의 뭐 있어,회원,,한국어 강의 뭐 있어
이종진 철학적 인간학 강평이 궁금해,철학적인간학,이종진,강평이 궁금해
이진현 신학적인간학 강평 좀,신학적인간학,이진현,강평 좀
유정원 그리스도교윤리 어떤지 알려줘,그리스도교윤리,유정원,어떤지 알려줘
변상혁 관리회계 영강이야? ,관리회계,변상혁,영강이야?
한국과세계 서복경 강평 요약해줘,한국과세계,서복경,강평 요약해줘
신의경 커뮤니케이션과사회에 대해 알려줘,커뮤니케이션과사회,신의경,대해 알려줘
안재형 법과지식재산 강평 요약해,법과지식재산,안재형,강평 요약해
김하정 생활속의심리학 강평 알려줘,생활속의심리학,김하정,강평 알려줘
자연과인간 이덕환 들을만해?,자연과인간,이덕환,들을만해?
이징택 교수님이 하시는 생명과 환경 강평좀,생명과환경,이징택,강평좀
최미란 미적분학1 강평 요약,미적분학1,최미란,강평 요약
이정희 과학사 어때?,과학사,이정희,어때?
서경희 교수님 기초빅데이터프로그래밍 어떤지 알려줘,기초빅데이터프로그래밍,서경희,어떤지 알려줘
호정원 우주와원자시대 강의평가,우주와원자시대,호정원,강의평가
영어글로벌의사소통1 이주영 교수님꺼 어때?,영어글로벌의사소통1,이주영,어때?
문의현 교수님 기초인공지능프로그래밍 어떤지 요약해줘,기초인공지능프로그래밍,문의현,어떤지 요약해줘
이상헌 교수님 인문사회글쓰기 들을만혀?,인문사회글쓰기,이상헌,들을만혀?
자연계글쓰기 김영경 교수님꺼 알려줭,자연계글쓰기,김영경,알려줭
기빅프 시험 스타일이 어때? ,기빅프,,시험 스타일이 어때?
이군희 교수님 경영통계학 수업 어때? ,경영통계학,이군희,수업 어때?
군희리 통자분 수업 괜찮을까?,통자분,군희리,수업 괜찮을까?
통계자료분석 프로젝트 있어?,통계자료분석,,프로젝트 있어?
통계자료분석 시험 오픈북이야?,통계자료분석,,시험 오픈북이야?
팀플 없는 마케팅원론 수업 뭐 있을까,마케팅원론,,팀플 없는
김주영 마케팅원론 수업 스타일이 어때?,마케팅원론,김주영,수업 스타일이 어때?
김주영 교수님 마케팅원론 팀플 있음?,마케팅원론,김주영,팀플 있음?
김주영 교수님 시험 암기 많이 해야 돼?,,김주영,시험 암기 많이 해야 돼?
경영전략시뮬레이션 강의 ㅇㄸ,경영전략시뮬레이션,,강의 ㅇㄸ
의사결정론 수업 과제 많아? ,의사결정론,,과제 많아?
박정훈 교수님 수업 후기 요약 좀 ,,박정훈,수업 후기 요약 좀
박영석 재무관리 과제 있어?,재무관리,박영석,과제 있어?
이준겸 비프관 어때 ,비프관,이준겸,어때
이번에 회계감사 수업 열려? 수업 평가가 어때? ,회계감사,,수업 평가가 어때?
