Sentence,course,professor,course_keyword
소정민 교수님이 이번 학기에 여는 수업 알려줘,,소정민,수업 알려줘
이번학기에 패러글라이딩 수업 열려?,패러글라이딩,,수업 열려?
자료구조 강의실 어디야?,자료구조,,강의실 어디야?
네트워크 강의실 어딘지 아니,네트워크,,어딘지 아니
수금 1시반 컴공과 수업 뭐있는지 알려줘,,,수업 뭐있는지 알려줘
소정민 교수님 네트워크 강의실이랑 시간 알려줘,네트워크,소정민,강의실이랑 시간 알려줘
알관에서 오후에 하는 컴공과 수업 알려줘,,,알관에서 오후에 하는
컴사는 2학기에만 열려?,컴사,,
이번 학기 계량경제학 수업 시간 좀 알려줄래??,계량경제학,,수업 시간
금요일 연강으로 열리는 수업좀 알려줄래?,,,
월수 10시반 수업 중에 들을만한거 추천좀,,,들을만한거 추천좀
기인프 수업 중에 다산관에서 안하는 수업코드 좀 알려줘,기인프,,
스쿠버 다이빙 어디서 해?,스쿠버 다이빙,,어디서 해?
경제 전공 중 비대면 수업으로 열리는거 있어?,,,비대면 수업
송경투 어디서 함?,경투,송,어디서 함?
축구 운동장에서 모이는거임?,축구,,운동장에서 모이는거임?
골프 어디서 해?,골프,,어디서 해?
경제 전공 중 들을만한 거 좀 알려줘 (1교시 제외!),,,들을만한 거 좀 알려줘 (1교시 제외!)
바다의 이해 이은일 교수님 강의실 ,바다의 이해,이은일,강의실
강은숙 고응C 강의실,고응C,강은숙,강의실
금요일에 하는 경영과학 수업있어?,,,
네트워크 정민소 어디야,네트워크,정민소,어디야
일반물리1 이상헌 교수님 어디서 할까,일반물리1,이상헌,어디서 할까
운영체제 강의실이 뭐야,운영체제,,강의실이 뭐야
금욜인 경영학과 수업 알려줘,,,금욜인
종교와 세계문화 배병훈 몇시에 함,종교와 세계문화,배병훈,몇시에 함
화목에 하는 나미향 기초 인공지능 프로그래밍 어디서 해,기초 인공지능 프로그래밍,나미향,어디서 해
회계학원론 시간 리스트 보여줘,회계학원론,,시간 리스트 보여줘
이번에 탁구 수업 열려?,탁구,,열려?
김준태 교수님의 선형대수학 강의 어디,선형대수학,김준태,강의 어디
경영과학 무슨 관에서 해?,,,무슨 관에서 해?
1교시 아닌 기인프 수업 알려줘,기인프,,1교시 아닌
특교개 수업 몇시야?,특교개,,수업 몇시야?
김주호 자바 강의실 어딘데,자바,김주호,강의실 어딘데
월수 기인프 시간 알려줘,기인프,,시간 알려줘
"통계학입문, 임경수, 시간",통계학입문,임경수,시간
위치좀 알려줘 중국고대사 (정면),중국고대사,,위치좀 알려줘
응통실 어디서 해?,응통실,,어디서 해?
관리회계 수업 시간 다 알려주세요,관리회계,,수업 시간 다 알려주세요
논비사 이솔 어디서 하냐?,논비사,이솔,어디서 하냐?
정문 근처에서 열리는 통계 자료 분석 수업 있어?,통계 자료 분석,,정문 근처에서 열리는
현서형 서진교 교수님 어디서 함,현서형,서진교,어디서 함
마관에서 하는 관리 회계 수업 알려줘,관리 회계,,수업 알려줘
호정원씨의 우주와 원자시대 어디서 하냐,우주와 원자시대,호정원,어디서 하냐
일본정치의 이해 김백주 몇시 어디서 ,일본정치의 이해 ,김백주,몇시 어디서
이번에 금요일에 열리는 경영학과 수업 있어?,,,금요일에 열리는
미적분학1 언제 수업이야 유지현 교수님 ,미적분학1,유지현,언제 수업이야
경영과학 시간대 다 알려줘,경영과학,,시간대 다 알려줘
경영과학 수업 어디서 해?,경영과학,,어디서 해?
소정민 자구 시간 언제야,자구,소정민,시간 언제야
신학적 인간학 최현순 위치,신학적 인간학,최현순,위치
임인찬의 도가철학 몇시에 강의가 있냐,도가철학,임인찬,몇시에 강의가 있냐
교육평가 수업 시간이 언제야?,교육평가,,수업시간이 어디야?
진선미성 월요일에 할까,진선미성,,월요일에 할까
케이관에서 하는 컴공 수업 알려줘,,,케이관에서
오흥식 서양고대사 언제 수업이야,서양고대사,오흥식,언제 수업이야
조창연 교수님이 이번에 여는 수업이 뭐가 있어?,,조창연,이번에 여는 수업 뭐가 있어?
통신수학 강의실 햐줘,통신수학,,강의실 햐줘
MA관에서 하는 중급회계2 알려줘,중급회계2,,MA관에서
목요일에 제이관에서 하는 수업 알려줘,,,목요일에 제이관에서
